country,year,sustainable_index_score,no_poverty_score,zero_hunger_score,good_health_score,quality_education_score,gender_equality_score,clean_water_sanitation_score,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,URL
Niger,2021,47.1,10.1,44.8,38.4,3.0,43.5,43.3,5.074,0.162,0.402,0.167,0.516,0.2,0.157,
Nigeria,2021,54.1,49.2,61.0,34.9,38.8,39.1,59.7,4.759,0.663,0.625,0.051,0.433,0.212,0.039,https://www.worldometers.info//img/flags/small/tn_ni-flag.gif
North Macedonia,2021,73.1,95.6,62.6,77.4,66.6,58.8,71.8,5.101,1.068,0.772,0.535,0.45,0.212,0.022,
Norway,2021,82.1,99.2,60.8,97.3,98.0,90.9,83.7,7.392,1.543,1.108,0.782,0.703,0.249,0.427,https://www.worldometers.info//img/flags/small/tn_no-flag.gif
Pakistan,2021,59.1,77.1,43.4,44.5,59.7,37.2,49.4,4.934,0.637,0.423,0.322,0.418,0.252,0.097,https://www.worldometers.info//img/flags/small/tn_pk-flag.gif
Panama,2021,67.3,93.8,50.2,80.0,80.7,65.9,71.2,6.18,1.298,0.976,0.667,0.596,0.079,0.053,https://www.worldometers.info//img/flags/small/tn_pm-flag.gif
Paraguay,2021,68.9,94.8,73.7,71.2,75.3,67.1,76.5,5.653,0.983,0.97,0.549,0.602,0.206,0.037,https://www.worldometers.info//img/flags/small/tn_pa-flag.gif
Peru,2021,71.9,85.1,71.3,80.5,98.8,74.1,78.0,5.84,0.986,0.833,0.623,0.536,0.087,0.031,https://www.worldometers.info//img/flags/small/tn_pe-flag.gif
Philippines,2021,67.1,76.7,68.8,58.2,78.5,63.9,70.4,5.88,0.853,0.828,0.426,0.651,0.125,0.126,
Poland,2021,81.0,99.0,67.5,83.9,97.5,72.6,84.4,6.166,1.309,0.982,0.668,0.558,0.08,0.13,https://www.worldometers.info//img/flags/small/tn_pl-flag.gif
Portugal,2021,80.1,99.9,64.3,92.4,98.6,84.0,80.3,5.929,1.323,0.939,0.76,0.621,0.029,0.033,https://www.worldometers.info//img/flags/small/tn_po-flag.gif
Romania,2021,77.3,98.4,72.9,80.7,84.6,54.8,76.3,6.14,1.275,0.832,0.595,0.564,0.045,0.001,https://www.worldometers.info//img/flags/small/tn_ro-flag.gif
Saudi Arabia,2021,67.5,100.0,56.8,80.7,78.5,44.2,59.1,6.494,1.435,0.964,0.571,0.603,0.09,0.163,https://www.worldometers.info//img/flags/small/tn_sa-flag.gif
Senegal,2021,61.7,62.8,61.7,57.8,31.7,44.1,64.8,5.132,0.518,0.558,0.357,0.381,0.158,0.088,https://www.worldometers.info//img/flags/small/tn_sg-flag.gif
Serbia,2021,78.4,100.0,75.8,82.0,93.6,64.8,75.0,6.078,1.101,0.924,0.634,0.482,0.189,0.066,https://www.worldometers.info//img/flags/small/tn_ri-flag.gif
Sierra Leone,2021,55.6,47.5,56.5,37.3,50.3,46.6,49.1,3.849,0.279,0.377,0.1,0.408,0.243,0.047,https://www.worldometers.info//img/flags/small/tn_sl-flag.gif
Slovenia,2021,80.8,99.4,66.6,92.5,95.6,77.0,87.8,6.461,1.36,1.093,0.722,0.69,0.122,0.085,https://www.worldometers.info//img/flags/small/tn_si-flag.gif
South Africa,2021,63.9,51.0,56.8,57.0,76.6,76.7,62.4,4.956,0.967,0.895,0.265,0.447,0.144,0.051,https://www.worldometers.info//img/flags/small/tn_sf-flag.gif
Spain,2021,80.5,98.7,65.4,94.6,97.4,86.7,87.4,6.491,1.375,1.057,0.826,0.462,0.135,0.124,https://www.worldometers.info//img/flags/small/tn_sp-flag.gif
Sri Lanka,2021,70.2,90.0,68.9,78.7,98.9,52.6,50.2,4.325,0.99,0.82,0.593,0.559,0.239,0.049,https://www.worldometers.info//img/flags/small/tn_ce-flag.gif
